temperature,ph,dissolvedOxygen,ammonia,status_label,growth_index
23.2,5.7,11.6,0.01,Low,94.5
23.41,5.1,10.5,0.094,Medium,94.5
23.63,5.5,10.3,0.06,Medium,94.5
23.64,5.2,9.4,0.018,Low,94.5
23.81,5.2,8.8,0.038,Low,94.5
23.85,5.0,7.3,0.039,Low,94.5
24.1,5.3,11.5,0.057,Medium,115.50000000000001
24.21,5.9,9.6,0.056,Medium,115.50000000000001
24.31,5.8,10.9,0.065,Medium,115.50000000000001
24.35,5.0,6.0,0.006,Low,115.50000000000001
24.6,5.4,9.5,0.013,Low,115.50000000000001
24.67,5.4,7.6,0.061,Medium,115.50000000000001
24.69,5.0,6.8,0.013,Low,115.50000000000001
24.7,5.8,6.1,0.053,Medium,115.50000000000001
25.13,6.0,7.9,0.048,Low,115.50000000000001
25.15,5.0,6.8,0.092,Medium,115.50000000000001
25.38,5.6,12.0,0.089,Medium,115.50000000000001
25.82,5.5,10.3,0.008,Low,115.50000000000001
25.95,5.3,8.8,0.089,Medium,115.50000000000001
25.86,5.4,6.7,0.045,Low,115.50000000000001
25.78,5.0,11.2,0.091,Medium,115.50000000000001
25.36,5.4,11.2,0.024,Low,115.50000000000001
24.99,5.7,6.1,0.054,Medium,115.50000000000001
24.94,5.8,9.3,0.05,Low,115.50000000000001
24.73,5.2,7.2,0.05,Low,115.50000000000001
24.53,5.3,11.5,0.056,Medium,115.50000000000001
24.43,5.5,6.5,0.055,Medium,115.50000000000001
24.38,5.1,7.0,0.003,Low,115.50000000000001
24.24,5.7,6.6,0.02,Low,115.50000000000001
24.18,5.7,8.8,0.076,Medium,115.50000000000001
24.12,6.0,8.8,0.003,Low,115.50000000000001
24.1,6.0,7.4,0.065,Medium,115.50000000000001
24.07,6.0,9.1,0.092,Medium,115.50000000000001
24.06,5.3,7.7,0.015,Low,115.50000000000001
23.89,6.0,9.7,0.051,Medium,94.5
23.86,5.9,6.0,0.061,Medium,94.5
23.79,5.4,8.9,0.028,Low,94.5
23.71,5.0,9.3,0.017,Low,94.5
23.4,5.1,10.8,0.09,Medium,94.5
23.24,5.4,8.0,0.083,Medium,94.5
23.16,5.2,8.9,0.068,Medium,94.5
23.14,5.2,9.6,0.061,Medium,94.5
22.9,5.3,11.6,0.092,Medium,94.5
22.69,5.3,8.9,0.01,Low,94.5
22.67,5.4,10.0,0.012,Low,94.5
22.57,5.6,9.9,0.045,Low,94.5
22.44,5.2,8.8,0.046,Low,94.5
22.41,5.7,12.0,0.098,Medium,94.5
22.67,5.9,10.4,0.049,Low,94.5
22.64,5.6,8.3,0.022,Low,94.5
22.5,5.8,6.3,0.071,Medium,94.5
22.47,5.4,6.4,0.058,Medium,94.5
22.07,5.3,10.1,0.018,Low,94.5
21.88,5.0,11.2,0.06,Medium,94.5
21.85,5.5,6.1,0.022,Low,94.5
21.83,5.5,7.2,0.048,Low,94.5
21.59,5.5,9.7,0.052,Medium,94.5
21.51,5.8,9.5,0.081,Medium,94.5
21.46,5.0,12.0,0.007,Low,94.5
21.38,6.0,7.0,0.07,Medium,94.5
21.27,5.3,11.4,0.055,Medium,94.5
21.24,5.1,9.8,0.045,Low,94.5
21.17,5.3,9.4,0.023,Low,94.5
21.14,6.0,6.6,0.05,Low,94.5
21.32,5.6,9.4,0.044,Low,94.5
21.7,5.8,6.2,0.089,Medium,94.5
21.72,5.9,7.6,0.006,Low,94.5
21.78,6.0,8.4,0.021,Low,94.5
21.94,5.8,9.8,0.036,Low,94.5
22.03,5.2,8.5,0.039,Low,94.5
22.14,6.0,6.2,0.061,Medium,94.5
22.21,5.0,8.5,0.05,Low,94.5
22.27,5.8,9.8,0.087,Medium,94.5
22.52,5.1,11.7,0.1,Medium,94.5
23.33,5.2,10.9,0.077,Medium,94.5
23.33,5.7,6.8,0.04,Low,94.5
23.43,5.9,11.9,0.095,Medium,94.5
23.75,5.1,8.2,0.018,Low,94.5
23.76,5.5,7.3,0.03,Low,94.5
23.88,5.9,9.2,0.093,Medium,94.5
23.99,5.8,6.4,0.056,Medium,94.5
24.02,5.9,10.6,0.083,Medium,115.50000000000001
24.03,5.8,9.5,0.097,Medium,115.50000000000001
24.5,5.8,11.1,0.078,Medium,115.50000000000001
24.51,5.3,8.0,0.077,Medium,115.50000000000001
24.82,5.3,9.4,0.031,Low,115.50000000000001
25.08,5.0,9.2,0.021,Low,115.50000000000001
25.34,5.6,11.1,0.095,Medium,115.50000000000001
25.73,5.7,10.0,0.071,Medium,115.50000000000001
25.97,5.2,7.9,0.076,Medium,115.50000000000001
25.99,5.1,7.1,0.008,Low,115.50000000000001
25.95,5.5,6.9,0.007,Low,115.50000000000001
25.88,6.0,9.8,0.071,Medium,115.50000000000001
25.83,5.8,6.2,0.054,Medium,115.50000000000001
25.74,5.1,10.7,0.014,Low,115.50000000000001
25.62,5.5,9.0,0.011,Low,115.50000000000001
25.61,5.4,6.5,0.009,Low,115.50000000000001
25.54,5.5,6.7,0.059,Medium,115.50000000000001
25.26,5.0,11.5,0.026,Low,115.50000000000001
25.22,5.7,7.3,0.093,Medium,115.50000000000001
24.82,5.1,6.6,0.062,Medium,115.50000000000001
24.75,5.6,10.1,0.019,Low,115.50000000000001
24.58,5.1,6.2,0.096,Medium,115.50000000000001
24.54,5.1,6.8,0.049,Low,115.50000000000001
24.25,5.9,9.8,0.083,Medium,115.50000000000001
24.23,5.0,11.9,0.085,Medium,115.50000000000001
24.13,5.3,7.7,0.017,Low,115.50000000000001
23.95,5.8,11.6,0.005,Low,94.5
23.94,5.9,7.3,0.022,Low,94.5
23.89,5.3,9.0,0.041,Low,94.5
23.85,5.5,9.1,0.03,Low,94.5
23.68,6.0,10.4,0.03,Low,94.5
23.5,5.0,8.4,0.023,Low,94.5
23.47,6.0,11.2,0.067,Medium,94.5
23.34,5.0,6.8,0.041,Low,94.5
23.26,5.5,6.3,0.037,Low,94.5
23.21,5.0,9.7,0.009,Low,94.5
23.14,5.6,7.4,0.041,Low,94.5
23.07,5.9,10.3,0.07,Medium,94.5
22.79,5.0,10.8,0.034,Low,94.5
22.69,5.6,7.2,0.063,Medium,94.5
22.59,5.5,8.1,0.058,Medium,94.5
22.57,5.7,11.3,0.068,Medium,94.5
22.53,5.7,6.5,0.005,Low,94.5
22.52,5.3,9.2,0.067,Medium,94.5
22.21,5.9,10.4,0.049,Low,94.5
22.12,5.1,9.2,0.002,Low,94.5
22.03,5.0,6.8,0.089,Medium,94.5
21.88,5.4,11.6,0.031,Low,94.5
21.79,5.6,10.6,0.094,Medium,94.5
21.67,5.7,6.7,0.077,Medium,94.5
21.62,5.3,10.1,0.019,Low,94.5
21.55,5.0,8.6,0.064,Medium,94.5
21.5,5.3,6.5,0.019,Low,94.5
21.46,5.3,6.2,0.055,Medium,94.5
21.35,5.5,10.3,0.012,Low,94.5
21.52,5.8,10.1,0.039,Low,94.5
21.92,5.4,11.7,0.061,Medium,94.5
21.93,5.2,11.9,0.071,Medium,94.5
21.96,5.3,10.7,0.029,Low,94.5
22.31,5.2,8.7,0.055,Medium,94.5
23.06,5.1,11.6,0.021,Low,94.5
23.15,5.4,7.3,0.049,Low,94.5
23.23,5.7,8.6,0.066,Medium,94.5
23.3,5.8,9.6,0.035,Low,94.5
23.53,5.0,10.3,0.011,Low,94.5
23.75,5.1,6.6,0.075,Medium,94.5
24.03,5.2,7.2,0.043,Low,115.50000000000001
24.05,5.1,8.1,0.044,Low,115.50000000000001
24.05,5.6,6.7,0.082,Medium,115.50000000000001
24.22,5.7,9.9,0.027,Low,115.50000000000001
24.29,5.6,6.0,0.096,Medium,115.50000000000001
24.39,5.6,8.8,0.079,Medium,115.50000000000001
24.39,5.8,10.8,0.017,Low,115.50000000000001
24.76,5.0,7.8,0.045,Low,115.50000000000001
24.9,5.2,8.5,0.096,Medium,115.50000000000001
24.93,5.9,8.5,0.018,Low,115.50000000000001
25.01,5.3,7.3,0.093,Medium,115.50000000000001
25.13,5.4,10.6,0.032,Low,115.50000000000001
25.17,5.6,6.9,0.058,Medium,115.50000000000001
25.55,5.2,11.5,0.03,Low,115.50000000000001
25.64,5.1,11.9,0.017,Low,115.50000000000001
26.08,5.4,7.7,0.07,Medium,115.50000000000001
26.07,5.6,6.1,0.092,Medium,115.50000000000001
25.86,5.5,7.5,0.031,Low,115.50000000000001
25.83,5.4,6.0,0.073,Medium,115.50000000000001
25.75,5.7,7.0,0.077,Medium,115.50000000000001
25.73,5.4,6.9,0.047,Low,115.50000000000001
25.65,5.7,6.5,0.026,Low,115.50000000000001
25.58,6.0,9.8,0.024,Low,115.50000000000001
25.45,5.1,10.9,0.059,Medium,115.50000000000001
25.37,5.1,6.0,0.057,Medium,115.50000000000001
25.15,5.7,8.0,0.011,Low,115.50000000000001
25.15,5.7,9.8,0.021,Low,115.50000000000001
25.1,5.1,10.9,0.035,Low,115.50000000000001
25.07,6.0,6.8,0.062,Medium,115.50000000000001
24.98,5.4,7.3,0.094,Medium,115.50000000000001
24.87,5.2,7.8,0.07,Medium,115.50000000000001
24.69,5.0,7.3,0.082,Medium,115.50000000000001
24.66,5.5,8.1,0.062,Medium,115.50000000000001
24.66,5.8,10.7,0.053,Medium,115.50000000000001
24.5,5.7,10.1,0.056,Medium,115.50000000000001
24.21,5.5,10.1,0.054,Medium,115.50000000000001
24.15,5.4,12.0,0.088,Medium,115.50000000000001
24.11,5.5,8.4,0.078,Medium,115.50000000000001
24.07,5.0,8.6,0.065,Medium,115.50000000000001
24.01,5.5,10.4,0.01,Low,115.50000000000001
23.61,5.4,7.8,0.066,Medium,94.5
23.09,5.4,11.6,0.014,Low,94.5
23.02,5.6,10.5,0.037,Low,94.5
22.87,6.0,11.3,0.063,Medium,94.5
22.84,5.8,8.3,0.076,Medium,94.5
22.93,5.5,9.2,0.091,Medium,94.5
22.89,5.5,6.7,0.016,Low,94.5
22.72,5.2,11.8,0.021,Low,94.5
22.71,5.0,6.9,0.092,Medium,94.5
22.46,5.6,10.7,0.092,Medium,94.5
22.35,5.2,6.6,0.095,Medium,94.5
22.34,6.0,12.0,0.072,Medium,94.5
22.33,5.7,9.4,0.057,Medium,94.5
22.22,5.1,9.8,0.056,Medium,94.5
22.02,5.3,8.9,0.069,Medium,94.5
21.96,5.0,11.9,0.074,Medium,94.5
21.79,5.1,8.4,0.039,Low,94.5
21.72,5.4,10.2,0.009,Low,94.5
21.7,5.0,8.6,0.006,Low,94.5
21.48,5.7,11.5,0.04,Low,94.5
21.13,5.9,11.7,0.013,Low,94.5
21.35,5.0,8.7,0.065,Medium,94.5
21.36,5.0,10.0,0.004,Low,94.5
21.39,5.0,8.4,0.067,Medium,94.5
21.78,6.0,11.9,0.05,Low,94.5
21.81,5.1,9.0,0.003,Low,94.5
22.07,5.4,8.2,0.011,Low,94.5
22.07,6.0,11.0,0.083,Medium,94.5
22.15,5.5,10.2,0.05,Low,94.5
22.25,6.0,8.3,0.035,Low,94.5
22.5,5.8,8.6,0.01,Low,94.5
22.82,5.7,9.3,0.004,Low,94.5
22.92,5.2,7.1,0.025,Low,94.5
22.94,5.6,11.4,0.008,Low,94.5
23.32,5.2,11.5,0.051,Medium,94.5
23.54,5.8,7.2,0.054,Medium,94.5
23.79,5.0,6.8,0.072,Medium,94.5
24.04,5.4,10.6,0.054,Medium,115.50000000000001
24.09,5.9,7.4,0.091,Medium,115.50000000000001
24.21,5.8,8.6,0.016,Low,115.50000000000001
24.3,5.4,11.0,0.066,Medium,115.50000000000001
24.34,5.7,9.3,0.056,Medium,115.50000000000001
24.53,5.6,10.8,0.014,Low,115.50000000000001
24.55,5.5,9.7,0.076,Medium,115.50000000000001
24.77,5.2,6.2,0.042,Low,115.50000000000001
25.23,5.0,7.2,0.019,Low,115.50000000000001
25.93,5.5,7.2,0.083,Medium,115.50000000000001
25.91,5.9,6.8,0.043,Low,115.50000000000001
25.9,5.9,11.9,0.09,Medium,115.50000000000001
25.66,5.9,10.0,0.036,Low,115.50000000000001
25.46,5.0,6.4,0.041,Low,115.50000000000001
25.28,5.2,8.0,0.009,Low,115.50000000000001
25.26,5.2,9.0,0.061,Medium,115.50000000000001
25.21,5.4,9.1,0.001,Low,115.50000000000001
24.98,5.2,9.7,0.065,Medium,115.50000000000001
24.88,5.4,10.4,0.08,Medium,115.50000000000001
24.74,5.8,11.2,0.02,Low,115.50000000000001
24.62,5.1,7.9,0.096,Medium,115.50000000000001
24.56,5.5,10.3,0.004,Low,115.50000000000001
24.55,5.8,8.9,0.097,Medium,115.50000000000001
24.53,5.3,11.1,0.007,Low,115.50000000000001
24.38,6.0,6.0,0.09,Medium,115.50000000000001
24.38,5.1,7.7,0.044,Low,115.50000000000001
24.29,5.0,11.6,0.04,Low,115.50000000000001
24.21,5.3,7.5,0.034,Low,115.50000000000001
24.2,5.8,12.0,0.017,Low,115.50000000000001
24.13,5.0,6.8,0.015,Low,115.50000000000001
23.97,6.0,7.0,0.004,Low,94.5
23.79,5.2,9.8,0.038,Low,94.5
23.77,5.8,8.0,0.048,Low,94.5
23.7,5.4,9.4,0.053,Medium,94.5
23.67,5.6,9.4,0.087,Medium,94.5
23.56,5.0,7.6,0.002,Low,94.5
23.27,5.7,8.6,0.017,Low,94.5
23.22,5.0,8.9,0.089,Medium,94.5
22.98,5.5,11.4,0.079,Medium,94.5
